,sdg 1,sdg 2,sdg 3,sdg 4,sdg 5,sdg 6,sdg 7,sdg 8,sdg 9,sdg 10,sdg 11,sdg 12,sdg 13,sdg 14,sdg 15,sdg 16,sdg 17,risk tag,P1,N1,P2,N2,P3,N3,P1_adjusted,N1_adjusted,P2_adjusted,N2_adjusted,P3_adjusted,N3_adjusted
user22,1.0,0.0,0.75,1.0,1.0,0.25,1.0,0.0,0.5,0.5,0.25,0.0,0.75,0.25,0.75,0.5,0.25,0.0,한미글로벌,애경산업,한화투자증권,현대엘리베이터,한화생명,미스토홀딩스,한미글로벌,현대엘리베이터,한화손해보험,애경산업,한화투자증권,HL홀딩스
user23,1.0,0.0,0.75,0.75,0.25,0.25,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,현대오토에버,애경산업,삼성화재,현대엘리베이터,카카오,미스토홀딩스,삼성중공업,애경산업,LG이노텍,현대엘리베이터,현대오토에버,SK디앤디
user24,0.0,0.25,0.5,0.75,1.0,0.0,0.0,0.25,0.25,1.0,0.75,0.25,1.0,0.5,0.5,0.5,0.0,2.0,삼성증권,엘앤에프,NH투자증권,두산퓨얼셀,하나금융지주,DS단석,대웅제약,OCI 홀딩스,삼성전기,한진칼,코오롱ENP,DS단석
user25,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,1.0,0.0,0.25,0.5,1.0,0.75,0.75,0.5,0.5,0.0,현대오토에버,애경산업,SK텔레콤,현대엘리베이터,한섬,미스토홀딩스,HD현대중공업,애경산업,HD현대건설기계,현대엘리베이터,한국가스공사,LX하우시스
user26,0.0,1.0,1.0,0.0,0.75,0.0,0.75,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.25,1.0,0.25,0.0,상상인증권,애경산업,한화투자증권,현대엘리베이터,지역난방공사,HD현대중공업,한국가스공사,애경산업,SK스퀘어,현대엘리베이터,지역난방공사,하이트진로
user27,0.0,0.5,0.5,0.75,0.25,1.0,0.5,0.25,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.75,1.0,2.0,삼성증권,HD현대중공업,NH투자증권,한화손해보험,JB금융지주,두산퓨얼셀,롯데이노베이트,한화손해보험,NH투자증권,OCI 홀딩스,LG디스플레이,두산
user28,0.0,0.75,0.0,0.75,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.75,1.0,0.5,0.5,0.75,0.75,0.0,삼성생명,애경산업,한화투자증권,현대엘리베이터,한미글로벌,HD현대중공업,한일단조,애경산업,두산에너빌리티,현대엘리베이터,한화투자증권,하이트진로
user29,1.0,0.0,0.75,0.0,0.25,1.0,0.25,0.75,0.5,0.25,0.25,0.5,0.75,0.75,1.0,1.0,0.75,1.0,우리금융지주,애경산업,S-OIL,한화손해보험,하나금융지주,미스토홀딩스,현대위아,애경산업,세아베스틸지주,현대엘리베이터,코오롱인더,SK디앤디
user30,0.75,0.25,0.5,0.0,0.25,1.0,0.5,0.0,0.75,1.0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,2.0,삼성증권,HD현대중공업,NH투자증권,SK스퀘어,우리금융지주,한화손해보험,JB금융지주,애경케미칼,롯데웰푸드,두산,현대홈쇼핑,현대오토에버
user31,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.25,0.0,0.0,1.0,0.25,0.25,1.0,2.0,NH투자증권,엘앤에프,삼성증권,HD현대건설기계,대한항공,SK스퀘어,삼성화재,SK바이오팜,넷마블,SK스퀘어,LX세미콘,DS단석
user32,0.0,1.0,1.0,0.5,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,삼성화재,현대엘리베이터,삼성중공업,애경산업,삼양홀딩스,SK디앤디,상상인증권,애경산업,삼성중공업,현대엘리베이터,한온시스템,SK디앤디
user33,1.0,0.0,0.5,0.5,0.5,0.75,1.0,0.25,1.0,0.25,1.0,0.5,0.75,1.0,0.75,1.0,0.5,1.0,삼성생명,애경산업,SK텔레콤,현대엘리베이터,우리금융지주,미스토홀딩스,한화생명,애경산업,삼성화재,현대엘리베이터,NEVER,미스토홀딩스
user34,0.0,0.5,0.0,1.0,0.25,0.25,0.25,0.75,0.5,1.0,0.5,0.25,0.0,0.0,0.25,1.0,0.5,1.0,삼성증권,HD현대중공업,NH투자증권,DS단석,JB금융지주,삼성중공업,롯데이노베이트,OCI 홀딩스,포스코홀딩스,애경산업,LX세미콘,DS단석
user35,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,1.0,SK텔레콤,한화손해보험,우리금융지주,애경산업,롯데이노베이트,KC그린홀딩스,이마트,OCI 홀딩스,KCC,애경산업,교보증권,현대엘리베이터
user36,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,1.0,0.5,0.25,0.5,1.0,1.0,1.0,0.5,2.0,우리금융지주,미스토홀딩스,BNK금융,엘앤에프,하나금융지주,HD현대중공업,삼성화재,엘앤에프,OCI,한진칼,S-OIL,HDC현대산업개발
user37,0.75,0.25,0.75,0.75,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.5,0.75,0.25,0.25,0.25,0.5,2.0,삼성증권,HD현대중공업,애경산업,한일단조,현대엘리베이터,한화손해보험,보령,OCI 홀딩스,한독,카카오페이,대한항공,두산
user38,0.25,0.75,0.25,0.5,0.25,0.0,0.75,0.25,0.25,0.75,1.0,0.75,1.0,1.0,0.5,0.75,0.25,0.0,삼성생명,애경산업,KCC,현대엘리베이터,한화시스템,한화손해보험,HD현대중공업,애경산업,한화투자증권,현대엘리베이터,한국가스공사,하이트진로
user39,0.5,0.5,1.0,1.0,0.5,0.75,0.25,1.0,0.5,0.5,0.75,0.75,0.0,0.25,0.0,0.75,0.0,0.0,상상인증권,애경산업,다올투자증권,현대엘리베이터,SK바이오팜,HD현대중공업,상상인증권,애경산업,한화에어로스페이스,현대엘리베이터,다올투자증권,하이트진로
user40,0.25,0.5,0.75,0.5,1.0,1.0,0.0,1.0,0.75,0.75,0.0,0.75,0.75,0.5,0.0,0.5,1.0,2.0,삼성증권,HD현대중공업,대한항공,한일단조,아시아나항공,한화솔루션,롯데이노베이트,OCI 홀딩스,영원무역,두산퓨얼셀,세아베스틸지주,카카오페이
user41,0.75,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.75,1.0,0.75,1.0,1.0,0.0,0.25,0.75,1.0,SK텔레콤,한화손해보험,세방전지,SK스퀘어,KCC,애경산업,삼성화재,애경산업,세아베스틸지주,현대엘리베이터,삼성생명,한화손해보험
user42,0.5,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.75,0.75,2.0,삼성증권,두산퓨얼셀,현대엘리베이터,한일단조,우리금융지주,DS단석,하나투어,OCI 홀딩스,교보증권,SK바이오팜,한샘,DS단석
user43,1.0,0.75,0.5,0.5,0.25,0.5,0.0,1.0,1.0,0.0,0.75,0.0,0.75,0.0,0.5,0.75,0.75,0.0,다올투자증권,애경산업,상상인증권,현대엘리베이터,카카오,HD현대중공업,한화시스템,애경산업,다올투자증권,현대엘리베이터,HD현대건설기계,미스토홀딩스
user44,0.5,1.0,0.75,0.25,0.75,0.75,0.25,0.75,1.0,1.0,0.75,0.75,0.25,0.75,0.25,0.5,0.25,0.0,현대로템,애경산업,KCC,현대엘리베이터,현대오토에버,HL홀딩스,현대로템,애경산업,한화시스템,현대엘리베이터,한화투자증권,하나투어
user45,0.25,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.75,0.25,0.0,0.75,0.0,0.5,1.0,1.0,0.25,2.0,하이트진로,한화손해보험,우리금융지주,HD현대중공업,SGC에너지,카카오페이,SGC에너지,현대오토에버,현대글로비스,카카오페이,고려아연,한온시스템
user46,0.75,0.75,0.5,0.0,0.25,0.75,1.0,0.0,0.75,1.0,1.0,0.5,0.0,0.25,1.0,1.0,0.75,2.0,NH투자증권,HD현대중공업,우리금융지주,한화손해보험,SK텔레콤,애경케미칼,롯데이노베이트,애경케미칼,LG디스플레이,현대오토에버,NEVER,상상인증권
user47,0.0,0.0,0.5,0.5,0.0,0.75,0.5,0.0,0.0,0.5,0.75,1.0,0.5,0.25,1.0,0.5,0.25,0.0,유한양행,애경산업,현대로템,현대엘리베이터,롯데케미칼,기업은행,일동제약,애경산업,LG에너지솔루션,현대엘리베이터,한화솔루션,하이트진로
user48,0.5,0.0,0.25,0.5,1.0,0.75,0.75,0.5,0.0,0.25,1.0,0.0,1.0,0.75,0.25,0.75,1.0,2.0,삼성증권,엘앤에프,BNK금융,HD현대중공업,KB금융,LG에너지솔루션,KB금융,한진칼,코오롱ENP,OCI 홀딩스,삼성생명,애경케미칼
user49,0.0,0.0,0.75,1.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,1.0,1.0,0.0,0.25,0.25,0.5,1.0,SK텔레콤,HD현대중공업,삼성증권,한화손해보험,KT,SK스퀘어,삼성생명,OCI 홀딩스,세아베스틸지주,한화손해보험,KCC,현대엘리베이터
user50,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,NH투자증권,애경산업,상상인증권,HD현대중공업,다올투자증권,현대엘리베이터,한미글로벌,애경산업,한온시스템,현대엘리베이터,상상인증권,SK디앤디
user51,1.0,1.0,1.0,0.25,0.25,1.0,0.25,0.0,0.75,1.0,1.0,1.0,0.0,0.75,1.0,0.75,1.0,1.0,세방전지,애경산업,유한양행,현대엘리베이터,우리금융지주,한화손해보험,삼성화재,애경산업,현대비앤지스틸,현대엘리베이터,세아베스틸지주,한일시멘트
user52,1.0,0.5,0.0,0.5,0.25,0.0,0.0,0.75,0.5,0.5,0.75,0.5,0.75,0.0,1.0,0.5,0.0,0.0,현대오토에버,애경산업,카카오,현대엘리베이터,미래에셋증권,HD현대중공업,한화시스템,애경산업,LS ELCTRIC,현대엘리베이터,미래에셋증권,미스토홀딩스
user53,1.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.5,1.0,0.75,0.75,0.5,0.0,0.0,0.75,0.0,2.0,현대엘리베이터,HD현대중공업,삼성증권,한화손해보험,애경산업,OCI 홀딩스,현대홈쇼핑,OCI 홀딩스,JB금융지주,애경케미칼,GS리테일,콜마홀딩스
user54,0.0,0.25,1.0,0.5,0.75,0.5,0.0,0.25,0.0,0.75,0.0,0.25,1.0,0.5,0.5,0.5,0.75,0.0,상상인증권,애경산업,S-OIL,현대엘리베이터,KB금융,SK디앤디,상상인증권,현대엘리베이터,한국가스공사,애경산업,지역난방공사,LX하우시스
user55,0.25,0.75,1.0,0.5,0.5,0.0,0.25,1.0,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.75,0.5,1.0,하나금융지주,애경산업,삼성증권,엘앤에프,우리금융지주,HD현대중공업,롯데이노베이트,OCI 홀딩스,KCC,애경산업,삼성화재,현대엘리베이터
user56,1.0,0.0,0.0,0.5,0.5,0.75,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.25,0.0,0.25,0.0,현대오토에버,애경산업,KCC,현대엘리베이터,세방전지,롯데렌탈,현대오토에버,애경산업,HD현대일렉트릭,현대엘리베이터,HD현대중공업,롯데렌탈
user57,0.75,0.5,0.75,0.75,0.5,0.75,1.0,0.5,0.0,0.5,1.0,0.25,1.0,0.5,0.75,0.25,1.0,2.0,NH투자증권,HD현대중공업,우리금융지주,SK스퀘어,삼성생명,엘앤에프,KB금융,한진칼,삼성생명,두산,LG디스플레이,엘앤에프
user58,0.0,0.25,0.5,0.5,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.75,2.0,삼성증권,HD현대중공업,SK텔레콤,두산퓨얼셀,우리금융지주,엘앤에프,코오롱ENP,OCI 홀딩스,한국타이어앤테크놀로지,SK바이오팜,삼성바이오로직스,현대오토에버
user59,0.75,0.25,0.25,0.75,0.25,0.5,0.0,0.5,0.5,0.75,0.5,0.25,1.0,0.5,1.0,0.75,0.5,1.0,우리금융지주,미스토홀딩스,삼성증권,두산퓨얼셀,SK텔레콤,HD현대중공업,이마트,애경산업,포스코홀딩스,현대엘리베이터,세아베스틸지주,OCI 홀딩스
user60,1.0,0.0,1.0,1.0,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.5,1.0,0.25,0.5,0.0,0.0,1.0,세방전지,HD현대중공업,SK텔레콤,HL홀딩스,넷마블,한세실업,한화생명,현대엘리베이터,삼성화재,애경산업,KB금융,한세실업
user61,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.75,0.25,0.0,0.75,1.0,2.0,삼성증권,HD현대중공업,대한항공,DS단석,현대엘리베이터,한화솔루션,LX세미콘,OCI 홀딩스,대한항공,DS단석,롯데하이마트,두산
user62,0.0,0.5,1.0,0.75,1.0,0.5,0.25,0.75,0.0,0.25,0.75,0.75,0.0,0.5,0.25,0.5,1.0,0.0,상상인증권,애경산업,넷마블,현대엘리베이터,다올투자증권,HD현대중공업,상상인증권,애경산업,롯데케미칼,현대엘리베이터,지역난방공사,하이트진로
user63,0.0,1.0,0.5,0.75,0.5,0.25,0.75,0.75,0.0,0.75,0.75,0.25,1.0,0.75,0.25,0.0,0.75,2.0,NH투자증권,SK스퀘어,삼성증권,엘앤에프,아시아나항공,HD현대건설기계,NH투자증권,콜마홀딩스,롯데이노베이트,한진칼,삼성생명,OCI 홀딩스
user64,0.25,0.75,0.5,0.5,0.0,0.75,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,SK텔레콤,HD현대중공업,우리금융지주,한화손해보험,삼성증권,애경산업,포스코홀딩스,애경산업,세아베스틸지주,현대엘리베이터,롯데이노베이트,하이트진로
user65,0.75,0.0,0.5,0.5,1.0,0.25,0.25,0.0,1.0,0.75,0.0,0.5,0.5,0.5,1.0,0.0,0.25,2.0,아시아나항공,HD현대중공업,삼성증권,SK스퀘어,우리금융지주,한세실업,한섬,카카오페이,영원무역,SK바이오팜,KT&G,애경케미칼
user66,0.0,0.25,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.0,0.5,1.0,0.5,0.75,0.5,0.0,0.0,0.0,애경케미칼,현대엘리베이터,일동제약,애경산업,현대모비스,기업은행,애경케미칼,현대엘리베이터,일동제약,애경산업,LG에너지솔루션,하이트진로
user67,0.25,0.25,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.0,0.75,0.25,0.75,0.0,현대오토에버,애경산업,상상인증권,현대엘리베이터,넷마블,HD현대중공업,상상인증권,애경산업,롯데케미칼,현대엘리베이터,한화투자증권,하이트진로
user68,0.5,1.0,0.25,1.0,1.0,0.25,0.5,0.5,0.75,0.75,1.0,0.25,0.5,0.5,1.0,0.25,0.5,0.0,현대오토에버,애경산업,미래에셋증권,현대엘리베이터,삼성생명,미스토홀딩스,한화시스템,애경산업,LS ELCTRIC,현대엘리베이터,한미글로벌,미스토홀딩스
user69,0.0,1.0,0.25,0.25,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.25,1.0,1.0,0.75,0.75,0.25,0.0,한화,애경산업,한화시스템,현대엘리베이터,코오롱ENP,미스토홀딩스,HD현대중공업,현대엘리베이터,한화솔루션,애경산업,한화,하나투어
user70,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.75,1.0,0.75,0.5,0.5,0.25,0.0,0.5,0.5,0.0,0.0,미래에셋증권,애경산업,SK텔레콤,현대엘리베이터,신세계 I&C,HD현대중공업,HD현대건설기계,애경산업,미래에셋증권,현대엘리베이터,에코프로머티,하나투어
user71,0.5,0.25,0.0,0.75,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,0.75,1.0,0.5,2.0,삼성증권,HD현대중공업,우리금융지주,한화손해보험,SK텔레콤,두산퓨얼셀,포스코홀딩스,OCI 홀딩스,교보증권,콜마홀딩스,JB금융지주,애경케미칼
user72,0.75,0.25,1.0,0.75,0.75,0.5,1.0,0.0,0.0,0.5,0.75,1.0,0.5,0.75,0.5,1.0,0.75,0.0,한화투자증권,애경산업,현대오토에버,현대엘리베이터,현대로템,기업은행,LG이노텍,애경산업,한화에어로스페이스,현대엘리베이터,한미약품,하이트진로
user73,0.5,1.0,0.0,1.0,0.0,0.25,1.0,0.75,1.0,0.75,0.75,0.25,0.0,0.0,0.25,0.0,0.5,0.0,미래에셋증권,애경산업,NH투자증권,현대엘리베이터,한미글로벌,HD현대중공업,미래에셋증권,애경산업,한미글로벌,현대엘리베이터,한화시스템,하나투어
user74,0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.25,1.0,0.25,0.5,0.0,0.75,0.75,0.0,0.25,0.5,0.0,한미글로벌,애경산업,KB금융,현대엘리베이터,한화투자증권,미스토홀딩스,한미글로벌,애경산업,한화시스템,현대엘리베이터,한화투자증권,미스토홀딩스
user75,0.5,1.0,0.25,1.0,0.5,1.0,0.25,0.0,0.0,0.25,1.0,0.0,0.25,0.0,1.0,0.75,0.75,1.0,NH투자증권,HD현대중공업,삼성증권,미스토홀딩스,JB금융지주,두산퓨얼셀,롯데이노베이트,애경산업,유한양행,현대엘리베이터,고려아연,엘앤에프
user76,0.75,0.75,0.75,0.0,1.0,0.75,0.75,0.25,1.0,0.25,0.0,1.0,0.25,0.0,0.75,0.25,1.0,1.0,롯데웰푸드,HD현대중공업,넷마블,애경산업,대한항공,현대엘리베이터,한국콜마,애경산업,삼성에스디에스,현대엘리베이터,세아베스틸지주,SK디앤디
user77,0.5,0.0,1.0,0.5,0.25,0.75,0.5,0.0,0.75,0.5,0.75,1.0,0.75,0.75,0.25,0.25,0.5,0.0,현대로템,애경산업,KCC,현대엘리베이터,세방전지,기업은행,한미약품,애경산업,한화투자증권,현대엘리베이터,삼성중공업,하이트진로
user78,1.0,0.5,0.25,0.75,1.0,1.0,0.25,0.75,0.5,0.5,0.25,0.0,0.25,0.5,1.0,1.0,0.0,2.0,삼성증권,HD현대중공업,우리금융지주,미스토홀딩스,BNK금융,두산퓨얼셀,롯데이노베이트,두산퓨얼셀,영원무역,카카오페이,BGF리테일,HDC현대산업개발
user79,0.75,0.0,0.75,0.25,0.5,0.75,0.5,1.0,0.5,1.0,0.75,0.25,0.75,0.5,0.5,0.0,0.0,2.0,삼성증권,한세실업,우리금융지주,SK스퀘어,NH투자증권,HL홀딩스,OCI,애경케미칼,JB금융지주,두산,KB금융,한진칼
user80,0.5,0.0,1.0,1.0,0.75,0.75,0.5,0.0,0.25,0.5,1.0,0.25,0.5,0.25,0.0,0.0,0.25,0.0,카카오페이,애경산업,삼성생명,현대엘리베이터,한화투자증권,HL홀딩스,상상인증권,애경산업,한화투자증권,현대엘리베이터,카카오페이,HL홀딩스
user81,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.5,1.0,0.75,1.0,0.25,0.5,0.5,1.0,1.0,1.0,2.0,삼성증권,HD현대중공업,우리금융지주,두산퓨얼셀,SK텔레콤,엘앤에프,포스코홀딩스,SK바이오팜,교보증권,애경케미칼,JB금융지주,OCI 홀딩스
user82,0.75,0.5,0.5,1.0,0.25,0.25,1.0,0.25,0.25,0.5,0.25,1.0,1.0,0.25,0.5,1.0,0.75,1.0,NH투자증권,HD현대중공업,SK텔레콤,애경산업,KT,한화손해보험,코오롱인더,애경산업,HL만도,현대엘리베이터,LG디스플레이,롯데렌탈
user83,0.25,0.5,0.75,0.75,0.0,0.25,1.0,0.25,0.25,0.25,0.0,0.0,0.25,1.0,0.0,0.25,0.0,1.0,삼성화재,HL홀딩스,NH투자증권,한화손해보험,신한지주,SK스퀘어,삼성화재,카카오페이,현대글로비스,한화손해보험,BGF리테일,HDC현대산업개발
user84,0.5,0.25,0.75,0.5,0.75,0.75,0.5,1.0,0.5,1.0,1.0,0.5,0.75,0.25,1.0,0.75,1.0,2.0,삼성증권,HD현대중공업,우리금융지주,두산퓨얼셀,JB금융지주,엘앤에프,현대위아,애경케미칼,KB금융,OCI 홀딩스,세아베스틸지주,두산퓨얼셀
user85,0.25,0.75,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.75,0.25,1.0,0.75,0.5,1.0,0.5,0.0,2.0,롯데웰푸드,한화손해보험,SK텔레콤,상상인증권,우리금융지주,카카오페이,롯데웰푸드,현대오토에버,SGC에너지,카카오페이,BGF리테일,한미글로벌
user86,0.0,1.0,1.0,0.75,0.0,0.25,0.0,0.0,0.25,0.5,0.0,1.0,0.5,0.25,0.5,0.75,0.25,1.0,삼양홀딩스,한화손해보험,오뚜기,HD현대중공업,한독,기업은행,롯데이노베이트,카카오페이,S-OIL,애경산업,HL만도,한일단조
